1,195 W Oakland Ave,Salt Lake City,UT,84115,10:30 AM,21,
2,2530 S 500 E,Salt Lake City,UT,84106,EOD,44,
3,233 Canyon Rd,Salt Lake City,UT,84103,EOD,2,Can only be on truck 2
4,380 W 2880 S,Salt Lake City,UT,84115,EOD,4,
5,410 S State St,Salt Lake City,UT,84111,EOD,5,
6,3060 Lester St,West Valley City,UT,84119,10:30 AM,88,Delayed on flight---will not arrive to depot until 9:05 am
7,1330 2100 S,Salt Lake City,UT,84106,EOD,8,
8,300 State St,Salt Lake City,UT,84103,EOD,9,
9,300 State St,Salt Lake City,UT,84103,EOD,2,Wrong address listed
10,600 E 900 South,Salt Lake City,UT,84105,EOD,1,
11,2600 Taylorsville Blvd,Salt Lake City,UT,84118,EOD,1,
12,3575 W Valley Central Station Bus Loop,West Valley City,UT,84119,EOD,1,
13,2010 W 500 S,Salt Lake City,UT,84104,10:30 AM,2,
14,4300 S 1300 E,Millcreek,UT,84117,10:30 AM,88,"Must be delivered with 15, 19"
15,4580 S 2300 E,Holladay,UT,84117,9:00 AM,4,
16,4580 S 2300 E,Holladay,UT,84117,10:30 AM,88,"Must be delivered with 13, 19"
17,3148 S 1100 W,Salt Lake City,UT,84119,EOD,2,
18,1488 4800 S,Salt Lake City,UT,84123,EOD,6,Can only be on truck 2
19,177 W Price Ave,Salt Lake City,UT,84115,EOD,37,
20,3595 Main St,Salt Lake City,UT,84115,10:30 AM,37,"Must be delivered with 13, 15"
21,3595 Main St,Salt Lake City,UT,84115,EOD,3,
22,6351 South 900 East,Murray,UT,84121,EOD,2,
23,5100 South 2700 West,Salt Lake City,UT,84118,EOD,5,
24,5025 State St,Murray,UT,84107,EOD,7,
25,5383 South 900 East #104,Salt Lake City,UT,84117,10:30 AM,7,Delayed on flight---will not arrive to depot until 9:05 am
26,5383 South 900 East #104,Salt Lake City,UT,84117,EOD,25,
27,195 W Oakland Ave,Salt Lake City,UT,84118.26769,11:30 AM,15.98461538,
28,2530 S 500 E,Salt Lake City,UT,84118.63795,EOD,15.74700855,
29,233 Canyon Rd,Salt Lake City,UT,84119.00821,EOD,15.50940171,Can only be on truck 3
30,380 W 2880 S,Salt Lake City,UT,84119.37846,EOD,15.27179487,
31,410 S State St,Salt Lake City,UT,84119.74872,EOD,15.03418803,
32,3060 Lester St,West Valley City,UT,84120.11897,11:30 AM,14.7965812,Delayed on flight---will not arrive to depot until 9:05 am
33,1330 2100 S,Salt Lake City,UT,84120.48923,EOD,14.55897436,
34,300 State St,Salt Lake City,UT,84120.85949,EOD,14.32136752,
35,300 State St,Salt Lake City,UT,84121.22974,EOD,14.08376068,Wrong address listed
36,600 E 900 South,Salt Lake City,UT,84121.6,EOD,13.84615385,
37,2600 Taylorsville Blvd,Salt Lake City,UT,84121.97026,EOD,13.60854701,
38,3575 W Valley Central Station Bus Loop,West Valley City,UT,84122.34051,EOD,13.37094017,
39,2010 W 500 S,Salt Lake City,UT,84122.71077,10:30 AM,13.13333333,
40,4300 S 1300 E,Millcreek,UT,84123.08103,10:30 AM,12.8957265,"Must be delivered with 15, 20"
